model,dataset,d_effective,r2_val,v_eps01,v_eps05,v_eps10,n_pairs_eps01,n_pairs_eps05,n_pairs_eps10,lip_q50,lip_q90,lip_q95,lip_q99,lip_tail_ratio,lip_mean,lip_std,tau,diameter,n_folds
ridge,pmlb_522_pm10,7,0.1379161113872324,0.0,0.0,0.006028368794326241,507,507,551,0.09227065546468992,0.21961095318033447,0.2618238279950545,0.3180851591179942,0.5401067094718943,0.10682447404075705,0.07767155618813021,0.10633264304510633,5.4475277598045455,5
xgb,pmlb_522_pm10,7,0.30827222822875777,0.03119723732782916,0.5971375385635574,0.7188186039195893,523,1888,4873,0.012073562225600017,0.03879742015158155,0.05187132503017518,0.09242663608486024,0.8786623453092706,0.017762888348026303,0.02011136612853424,0.16208775341510773,505.90932898455475,5
chebypoly,pmlb_529_pollen,4,0.7917387841657465,0.0,0.21782505424393692,0.5217598461430295,110,571,3216,0.345413309337105,0.72288278447444,0.7968887216549196,0.8918451426572629,0.4119620171774436,0.37106067991760383,0.24067793376145324,0.8392900055636995,36.16404588058905,5
chebytree,pmlb_529_pollen,4,0.792174879316772,0.0,0.2657874148625553,0.5318353055161478,110,571,3216,0.3444615949866584,0.7268016575609885,0.8058154719499406,0.9277723640988859,0.43028161241638996,0.3745030793852052,0.2559437330886743,0.8398606832951693,36.16404588058905,5
dt,pmlb_529_pollen,4,0.6399025076782965,0.0809319718681826,0.4053101333719729,0.5593467646770781,110,571,3216,0.32297398737337074,0.901718499248549,1.1122623831047733,1.7941857010340367,0.7410029096885397,0.4082456179114695,0.5692512017053375,0.8065206238535886,36.16404588058905,5
erbf,pmlb_529_pollen,4,0.7915253499931418,0.0,0.2586410161313167,0.5300611183614492,110,571,3216,0.3400831527910798,0.7316828509249096,0.8234010922175681,0.9602661882621899,0.45074421393998493,0.37344933558188076,0.24940588569915997,0.8409256683988995,36.16404588058905,5
rf,pmlb_529_pollen,4,0.710258533584204,0.00291970802919708,0.34872485215740506,0.5275087272343599,110,571,3216,0.2392976659509039,0.5925506298423858,0.7157496940900444,0.9453253202865188,0.5963808820526733,0.2870083192809663,0.2284406391335155,0.6922878307039897,36.16404588058905,5
ridge,pmlb_529_pollen,4,0.7924078183526304,0.0,0.14582634104481634,0.47939787699751035,98,469,2316,2.362304933872559,5.023591575752781,5.596610967630783,6.256449474753538,0.4230098748120614,2.5589753880479527,1.6846155298141912,0.8394450959097396,4.577750739861864,5
xgb,pmlb_529_pollen,4,0.7404864731419044,0.011615360203110122,0.35084207997948386,0.5519182942632329,110,571,3216,0.319332939127933,0.748380315820639,0.8854581424122078,1.198682108718253,0.5744139490993956,0.3730415245915187,0.2929003325627994,0.8110443949699402,36.16404588058905,5
chebypoly,pmlb_547_no2,7,0.5469861785992738,0.023741833902379182,0.6262065598450994,0.7440303665729397,537,2106,5326,0.014363119522351161,0.048195999967442185,0.06293586441565317,0.11118564795192817,0.886659081487719,0.021187027340383226,0.02281465039039306,0.1811284269805829,511.36199897096003,5
chebytree,pmlb_547_no2,7,0.5511497506277416,0.01897992914047442,0.6265907592050395,0.7319578232427837,537,2106,5326,0.013456995151284734,0.04721850879032745,0.06221382172476745,0.11448852660605886,0.926492650560505,0.0206279365305186,0.022961837813706178,0.1760880903285561,511.36199897096003,5
dt,pmlb_547_no2,7,0.478279206048994,0.01752930307215648,0.5711648624014136,0.6936393273765101,537,2106,5326,0.012279081556014006,0.04434998034806651,0.06163107731133932,0.09352218358564394,0.8820058437890413,0.01875696868064298,0.02174663037903887,0.16638073126850964,511.36199897096003,5
erbf,pmlb_547_no2,7,0.595316759162539,0.014440650152042888,0.6054198892190368,0.7240038529235371,537,2106,5326,0.01286186596787819,0.0445327984371436,0.06112875566859534,0.11183553318850688,0.9283175891576914,0.019868355794567805,0.022357708002135566,0.17159181425282266,511.36199897096003,5
rf,pmlb_547_no2,7,0.6062577418269303,0.013940919186210227,0.5949002749579737,0.717738842389105,537,2106,5326,0.01161559726315182,0.0438086320708435,0.05591968824315012,0.10109160241699267,0.9334741748630092,0.018628399132241746,0.0209147989168983,0.16119302797142435,511.36199897096003,5
ridge,pmlb_547_no2,7,0.48533155766457553,0.0,0.0,0.003956834532374101,507,510,545,0.1709148094339689,0.38097297627031895,0.4410978795707591,0.5213319635662284,0.4853891763713232,0.19148232233845802,0.13054735438387582,0.15706080883938806,5.434007645135241,5
xgb,pmlb_547_no2,7,0.5277090445825229,0.03085456538046964,0.5772649352648107,0.7202841091655109,537,2106,5326,0.012036152248686665,0.04348940023306426,0.056499035863962654,0.10221060214937432,0.9204644500932957,0.01861927352326362,0.020888621501112745,0.16181471943855286,511.36199897096003,5
chebypoly,pol,16,0.8687431928507523,0.0,0.021309658917656335,0.11495860521580137,3140,16338,31019,0.4668951228691293,1.658128144348798,2.174162342556966,3.0911469089230343,0.8210041870857345,0.6958718712534828,0.6901027942293473,11.772228945944326,139.48727564822767,5
chebytree,pol,16,0.9570853983227158,0.001938297391040848,0.051613586179502825,0.12797076517052744,3140,16338,31019,0.1035829433668198,1.8836594300080705,3.028196493038549,5.516428706837145,1.7310727622426925,0.5925519959715696,1.2115675329269293,12.255953933024498,139.48727564822767,5
dt,pol,16,0.9260377620139811,0.003952607176298546,0.046756150354421856,0.11950875475405609,3140,16338,31019,0.0,1.6149132904733694,3.07089242068004,6.789928431074323,,0.5150076581995963,1.6019935073813585,12.065022267888214,139.48727564822767,5
erbf,pol,16,0.9491354285629914,0.0,0.03624660658601168,0.12539117815789882,3140,16338,31019,0.32597034463597374,1.7475760928992599,2.557147063947015,4.134036486715785,1.103287426941374,0.6564788056512996,0.8609365453694107,12.208514625405863,139.48727564822767,5
rf,pol,16,0.949848653718916,0.0035330267567181264,0.0466213828544053,0.1174954183991351,3140,16338,31019,0.05467886057939075,1.4824945862329486,2.6524740876335215,5.126880849093558,1.9734485825477386,0.4771877475491778,1.1448659861678263,11.839563407850097,139.48727564822767,5
ridge,pol,16,0.4654507412734102,0.0,0.06402086103109182,0.205561302330523,6067,22334,37829,9.43518714923728,22.29856574254165,23.71710722366985,25.518391547257846,0.4321337606178763,10.529899407747042,7.2788309838848635,8.54693318043708,10.301425046110328,5
xgb,pol,16,0.9715679972185127,0.001902568594393255,0.04855929023468471,0.12350360431504474,3140,16338,31019,0.10474654928196543,1.8448651230097162,2.973418004117197,5.299309302495944,1.7337107015066522,0.569221633051339,1.1598502418368146,12.330513000488281,139.48727564822767,5
chebypoly,power_grid_stability,12,0.8947502152440565,0.0,0.0,0.5193529594978233,27,28,129,0.01120497335744634,0.027418150875587022,0.03274212071395631,0.04306995465879515,0.584746244139627,0.013281658046114735,0.010067171806274465,0.01049370161451298,11.416424280720108,5
chebytree,power_grid_stability,12,0.8965186299077427,0.0,0.02,0.508342338083339,27,28,129,0.01140692199463587,0.02875763898504256,0.03446694680868177,0.04637045978036169,0.6090506820464245,0.013766244169556774,0.010719766929252628,0.010580773931793214,11.416424280720108,5
dt,power_grid_stability,12,0.6894931044591754,0.0,0.013793103448275862,0.49252701985362213,27,28,129,0.010602631905257013,0.027575223330055132,0.0332028690579715,0.04472030760031338,0.6255683844461875,0.012735942345062362,0.010739576700302175,0.009424827783514058,11.416424280720108,5
erbf,power_grid_stability,12,0.950853372837507,0.0,0.0,0.5053131021743841,27,28,129,0.011597581729887462,0.029289581650962272,0.03540137592027774,0.04789148879886117,0.6158912594160368,0.014020327937723185,0.011025191731516427,0.010782376861220066,11.416424280720108,5
