model,dataset,rho_mean,rho_std,r2_val,n_folds
erbf,concrete_strength,0.830618006344818,0.06913285455873759,0.88586008456646,5
rf,concrete_strength,0.7892368764209552,0.07542682131854707,0.8807860055626799,5
ridge,concrete_strength,0.4443973711805945,0.03579086427262777,0.60082350396412,5
xgb,concrete_strength,0.9282120022116306,0.05695129795189596,0.9176273516621383,5
chebypoly,cpu_act,0.9060540536795209,0.01430001303516847,0.9835174444741263,5
chebytree,cpu_act,0.9044940236029516,0.018556565811818252,0.9824219811788641,5
dt,cpu_act,0.9247675340929318,0.024218876317171328,0.9677364692445025,5
erbf,cpu_act,0.901697305192523,0.016291108251768837,0.9832063076860427,5
rf,cpu_act,0.8696507995132734,0.020208925982700923,0.975814457405075,5
ridge,cpu_act,0.7016690798443188,0.02622804961668029,0.7368671173844034,5
xgb,cpu_act,0.9189256801923275,0.019491708779907968,0.9816915424208696,5
chebypoly,diabetes,0.4389332498511001,0.019278067821381754,0.47967527886551986,5
chebytree,diabetes,0.46738140677191786,0.017557003383372117,0.47511967829459234,5
dt,diabetes,0.4832970949452176,0.06586993685178948,0.3163211684625449,5
erbf,diabetes,0.46389118951736386,0.030313721329884174,0.44765710026707256,5
rf,diabetes,0.40351022924428814,0.028539488623770884,0.45131075162070144,5
ridge,diabetes,0.4184244216476195,0.01822009473650808,0.4795412782856353,5
xgb,diabetes,0.4592274826622999,0.08079406561971371,0.4252861904804794,5
chebypoly,diamonds,0.25831590739582755,0.013659490989544554,0.9427333464524438,5
chebytree,diamonds,0.28214302646193873,0.012585050672654778,0.9431984605799141,5
dt,diamonds,0.23254606690824148,0.007660362528547031,0.942012697673162,5
erbf,diamonds,0.25753086687992816,0.010408182382342843,0.9450069844721364,5
rf,diamonds,0.20829112192179022,0.0039315126225711585,0.9440740370287978,5
ridge,diamonds,0.17329146195352546,0.01122956932118452,0.9250666822042393,5
xgb,diamonds,0.25043294896625135,0.03357402430149617,0.945373920510632,5
chebypoly,elevators,0.9333407877453228,0.0032610295637822578,0.8905387531440969,5
chebytree,elevators,0.9219422020950392,0.014030114292026824,0.8858681367415938,5
dt,elevators,0.7081994679016391,0.04585189106986825,0.5942283511524462,5
erbf,elevators,0.8942786444866154,0.010413242043325827,0.8617076881435441,5
rf,elevators,0.6545274446795829,0.022488945951791524,0.6898027663605975,5
ridge,elevators,0.6762276690197392,0.0070096170454324435,0.8126883834555869,5
xgb,elevators,0.8740337713882189,0.005076284592916729,0.87305445436389,5
chebypoly,energy_efficiency_heating,0.9771922470283478,0.019316506819654692,0.99733469304301,5
chebytree,energy_efficiency_heating,0.9810803353636158,0.01814023088125959,0.9974935962770752,5
dt,energy_efficiency_heating,0.9755567126290815,0.027136998882906705,0.9956359978689259,5
erbf,energy_efficiency_heating,0.9811269644794042,0.017165224925512392,0.9984020617887239,5
rf,energy_efficiency_heating,0.9264515292223996,0.021767386559174276,0.9949580586677605,5
ridge,energy_efficiency_heating,0.5928937781550632,0.0390846384712943,0.9140537752572572,5
xgb,energy_efficiency_heating,0.9769373782781926,0.017019796664925056,0.9960152741753013,5
chebypoly,esol,0.7156659026361394,0.03207111795433858,0.8934835808244801,5
chebytree,esol,0.6855574803857427,0.030301038353857064,0.8486101517003937,5
dt,esol,0.7276758800191032,0.05861932471671692,0.8533967481545774,5
erbf,esol,0.7294818582260721,0.058426721926750365,0.8972668411725078,5
rf,esol,0.6172958707009871,0.0566196579024285,0.8946218864264177,5
ridge,esol,0.6103999296300104,0.02412282004661901,0.8280614436091449,5
xgb,esol,0.6975020446546709,0.13845598309893511,0.8821595131317073,5
chebypoly,feynman_gaussian,0.32042545431478386,0.023203995926086664,0.3812594520041692,5
chebytree,feynman_gaussian,1.07352395719573,0.03159202865564586,0.9907851010900697,5
dt,feynman_gaussian,0.9212844100358701,0.1479145535682618,0.9387521755458437,5
erbf,feynman_gaussian,0.9021529240557923,0.057147914624552335,0.9690569843651439,5
rf,feynman_gaussian,0.6992075616570865,0.031374890948517406,0.9453132946299194,5
ridge,feynman_gaussian,0.03652129465992382,0.0032287558907864986,0.06866623741200244,5
xgb,feynman_gaussian,0.9206535220516978,0.10182366440369078,0.489667103497459,5
chebypoly,feynman_wave_interference,0.8200091807676888,0.017121122451084915,0.9094083791716079,5
chebytree,feynman_wave_interference,0.7105540864078932,0.011058924248891516,0.8833385363588041,5
dt,feynman_wave_interference,0.7043402143607771,0.039941408563618164,0.8728065419374633,5
erbf,feynman_wave_interference,0.937954870095445,0.013064180494125787,0.9649779264054722,5
rf,feynman_wave_interference,0.6620079410983233,0.011886820118848717,0.8885496762887867,5
ridge,feynman_wave_interference,0.7830248142366889,0.00532192187070002,0.8415195785998055,5
xgb,feynman_wave_interference,0.9392767222633985,0.03511257956520009,0.9347547377168297,5
chebypoly,food_delivery_time,0.42675870620303014,0.005289618300902057,0.33099737910603944,5
chebytree,food_delivery_time,0.3900652886110054,0.02603109943311032,0.33498041987357763,5
