model,dataset,rho_mean,rho_std,r2_val,n_folds
chebytree,student_performance,0.5351833126231279,0.0493876186333936,0.26428743978541736,5
dt,student_performance,0.4238234462480855,0.058936329398752374,0.2100865841070907,5
erbf,student_performance,0.5253013871253894,0.041428442388494524,0.2443916261675812,5
rf,student_performance,0.4017305777565368,0.04566467179302485,0.308138366226763,5
ridge,student_performance,0.35052191260684473,0.03594152899447694,0.2696893390834188,5
xgb,student_performance,0.3957423788834022,0.03413647250620034,0.2966488562228518,5
chebypoly,sulfur,0.5912156614927235,0.012588958824818256,0.7640149886172949,5
chebytree,sulfur,0.6475389612503502,0.034622364224682456,0.7907018794589428,5
dt,sulfur,0.6048899004241826,0.022230224605646345,0.7166181394442128,5
erbf,sulfur,0.6124440690800451,0.018075673096095164,0.7792308386497114,5
rf,sulfur,0.5629236531982733,0.0018676141197857786,0.7315825611523443,5
ridge,sulfur,0.3268673511565335,0.020939535956335385,0.3929678266342179,5
xgb,sulfur,0.6701839586894307,0.09167405586598641,0.8281368843305819,5
chebypoly,superconduct,0.0006576093288437149,0.00034659366085883984,0.8196583918855713,5
chebytree,superconduct,0.0038160343511327625,0.0030333597450999637,0.8864185044090093,5
dt,superconduct,0.002713421260653941,0.0021495667609768695,0.8211862413073423,5
erbf,superconduct,0.0011280828639363394,0.0005709294055773979,0.8465207182504975,5
rf,superconduct,0.002432009542814254,0.0013392639045388013,0.8568888606762682,5
ridge,superconduct,1.2725202892497726e-05,5.500186478606299e-06,0.6760879781187543,5
xgb,superconduct,0.005788274933582605,0.001594960894106574,0.9101685969327626,5
chebypoly,synthetic_multithreshold,0.8947093095078925,0.033989390410319294,0.8590270421775312,5
chebytree,synthetic_multithreshold,0.9372733410617992,0.016362151660412456,0.9316425551956901,5
dt,synthetic_multithreshold,0.9342089333160928,0.0152964540437813,0.9581940165071193,5
erbf,synthetic_multithreshold,0.8727094410338815,0.03172819183108094,0.8894884359191394,5
rf,synthetic_multithreshold,0.9067117748109237,0.008760452265957083,0.9662286014987884,5
ridge,synthetic_multithreshold,0.5712193711178708,0.05368212147471699,0.5729652832291542,5
xgb,synthetic_multithreshold,0.917382008045624,0.014859084030167474,0.9596834161776581,5
chebypoly,synthetic_piecewise,0.8683114853303822,0.02557429842958426,0.9551861145077108,5
chebytree,synthetic_piecewise,0.8654269197569278,0.0322807980725607,0.9519500984216084,5
dt,synthetic_piecewise,0.9009492982954003,0.035938393119904634,0.9024968294385808,5
erbf,synthetic_piecewise,0.8685215597052368,0.024568046337650844,0.9598978180642401,5
rf,synthetic_piecewise,0.8310364910871213,0.034391714280691356,0.9347614442961396,5
ridge,synthetic_piecewise,0.7577934823988872,0.01386705940344704,0.7912934814235757,5
xgb,synthetic_piecewise,0.8778806456429425,0.029509067937025665,0.9351083413123036,5
chebypoly,synthetic_step,0.8381736069191785,0.023231904074390405,0.8449499266423757,5
chebytree,synthetic_step,0.8764404679744633,0.02414400614030842,0.9326129033518257,5
dt,synthetic_step,0.8583982424751646,0.029844763071390577,0.9378644768137395,5
erbf,synthetic_step,0.8400767408978655,0.02769107836736546,0.877770288065854,5
rf,synthetic_step,0.838643865405109,0.028372158396975128,0.9392944247227011,5
ridge,synthetic_step,0.5574185106779036,0.015731437550939496,0.5806797174176476,5
xgb,synthetic_step,0.8600213833092001,0.027938288136408206,0.9227478224676485,5
chebypoly,wine_quality,0.5656278232863505,0.023647899416748885,0.3648278216197138,5
chebytree,wine_quality,0.570166495002882,0.038168598655213576,0.33602373794913953,5
dt,wine_quality,0.578375672730838,0.01699142875786722,0.30216856260706115,5
erbf,wine_quality,0.5925585227030551,0.026570455046192206,0.38834254950587155,5
rf,wine_quality,0.5212415267220021,0.020073024198444946,0.3925319045747869,5
ridge,wine_quality,0.2561096656104058,0.010619563786379163,0.28830358308715914,5
xgb,wine_quality,0.7652666764897154,0.026125058763498247,0.4397924575193521,5
