model,dataset,d_effective,r2_val,lip_tail_ratio,lip_tail_ratio_q90,lip_q50,lip_q75,lip_q90,lip_q95,lip_q99,lip_mean,lip_std,violation_prob,per_point_max_q95,tau,n_anchors,median_perturbation_dist,n_probes,n_folds
chebypoly,concrete_strength,8,0.8935199252459689,0.6440485321453323,0.2698479326810665,15.59128023335808,48.25375287546266,126.12831149718673,163.06768440776423,231.34582660232408,40.21698940287754,54.78508638430312,0.2724666666666667,279.3689710230463,4.786147727567419,100,0.12735653991089446,3000,5
chebytree,concrete_strength,8,0.8664864141597801,0.9553940697791233,0.6236425258466363,8.688763702072091,17.01740738685566,40.157791223641205,74.7878121348768,184.196454042632,18.56141433870352,34.76001941589648,0.1086,224.0718957469722,4.742358318476528,100,0.12735653991089446,3000,5
dt,concrete_strength,8,0.810612429768382,2.0043213737826426,0.7985038641331885,0.0,0.0,25.35719195784267,65.63196230388154,155.2710981588776,8.84504399086366,31.368030379043837,0.09146666666666667,185.78670575667297,4.742922098741518,100,0.12735653991089446,3000,5
erbf,concrete_strength,8,0.88586008456646,0.5008213165164845,0.29240287180477675,6.758771628950643,12.608146081368783,20.63007807534181,27.060227936120164,40.567860816580136,9.285085007957168,8.801292050553569,0.0264,49.687203246658505,4.755020566982073,100,0.12735653991089446,3000,5
rf,concrete_strength,8,0.8807860055626799,0.9246798617988189,0.5661760587743698,2.72377671055961,7.364960558623079,17.71144621077158,28.38025878202277,67.22781870013912,7.070437310898916,12.949396440245772,0.0372,89.9642233814952,4.3073313256976435,100,0.12735653991089446,3000,5
ridge,concrete_strength,8,0.60082350396412,0.26998999938159984,0.13823253347547232,4.792738273946052,7.692176510550743,10.468641030938805,11.918388749442748,14.442990361349604,5.274884093312285,3.588965332605929,0.0012000000000000001,15.807574892919442,3.923958639401227,100,0.12652307015908953,3000,5
xgb,concrete_strength,8,0.9176273516621383,0.6542101069291992,0.34566760580406364,16.693925287997377,45.810061210959645,95.5819914532332,130.05577446509375,214.51556772639037,34.95585973062551,46.7346084293451,0.2907333333333333,283.48558637649603,4.780472755432129,100,0.12735653991089446,3000,5
chebypoly,cpu_act,21,0.9835174444741263,1.271625447858743,1.1033105943851655,1.1014658679955922,1.9979109307204965,3.2447336929969817,5.2811828065274895,66.15448419382483,3.1859885806688064,11.55941445184382,0.026435338564370824,50.2487648997823,5.473358908372641,185,0.22058334639425356,5562,5
chebytree,cpu_act,21,0.9824219811788641,0.45831660643616645,0.2765465938200705,0.8491138512785323,1.5832953170682988,2.4330330220541487,3.026063854786728,4.692884616259116,1.123368458262586,1.0692494602907163,0.0,5.970868936256487,5.4651452802664044,185,0.22058334639425356,5562,5
dt,cpu_act,21,0.9677364692445025,2.0043213737826426,1.297700228212722,0.0,0.0,2.483417546133942,12.431687330082605,32.950411599219805,1.6684727731015152,6.535540070960178,0.01372837353482515,39.49355358680234,5.4382933324770635,185,0.22058334639425356,5562,5
erbf,cpu_act,21,0.9832063076860427,0.6243881868544706,0.42787745231131036,0.8756255783616302,1.639448838311975,2.6187573014714944,3.3764203897963574,7.203012603125281,1.3088255312763635,2.1623047832822855,0.003955245568148794,9.534032798877712,5.462973925053431,185,0.22058334639425356,5562,5
rf,cpu_act,21,0.975814457405075,1.419378513820615,1.1779243168965465,0.5883010403882105,1.3566564156442926,2.735108871917915,4.437336316575805,50.21669874227629,2.185851681716227,9.365261509934564,0.023363363363363362,68.53412916376081,5.384341289679614,185,0.22058334639425356,5562,5
ridge,cpu_act,21,0.7368671173844034,0.41340531230378474,0.23570120999481975,1.6159573033178674,2.8241306263276065,4.289528992114377,5.367947759888117,7.431889960844003,2.012879032835138,1.657852948250071,0.0073364332074009496,8.364257837599377,4.7078080627558405,185,0.2213233180452409,5562,5
xgb,cpu_act,21,0.9816915424208696,0.6671533637166889,0.41640682102465487,2.0290094445154603,4.684447497790721,8.534778801694321,12.089771271604608,23.260818236222356,3.587774947196214,5.2370957183466125,0.009376925312409183,31.44018659854101,5.4548258781433105,185,0.22058334639425356,5562,5
chebypoly,diabetes,10,0.47967527886551986,0.32987192659211256,0.1494300854536492,35.85801495648222,87.72553181362191,148.81173517178104,177.7602087215186,214.35970224165104,57.61082746715554,56.17591676535194,0.16487402110997618,235.7299841599096,16.53648824528675,88,0.18270285044109025,2652,5
