model,dataset,d_effective,r2_val,lip_tail_ratio,lip_tail_ratio_q90,lip_q50,lip_q75,lip_q90,lip_q95,lip_q99,lip_mean,lip_std,violation_prob,per_point_max_q95,per_point_max_q95_norm,tau,n_anchors,median_perturbation_dist,n_probes,n_folds
tabpfn,physiochemical_protein,9,0.7680062051253775,0.9150646320287243,0.530320766916247,1.8278585581832687,5.866565331674704,15.104652884427182,24.191851487424263,52.326620708481926,5.679887376305665,10.962785771553106,0.03673333333333333,68.51325496412439,12.745879222449162,1.6254921,100,0.06247129052866955,3000,5
tabpfn,pmlb_1028_SWD,10,0.41964387968850125,0.3993786982829764,0.2527508563458171,3.6415891225109953,5.498875750907715,7.7660732549617935,9.473278244554276,14.03777480405312,4.218861110513929,2.883352040182717,0.9350806125806322,19.598376735960507,35.258767347269625,0.16741334,95,0.1747989702030603,2874,5
tabpfn,pmlb_1029_LEV,4,0.5463869715136208,0.6278458194036158,0.4040386223820791,0.8475695674572481,1.619744661258664,2.7624662639390243,3.784625323189135,7.169308366384525,1.3048484959825641,2.213121516329232,0.0549935489430613,16.747648025060446,23.911477883818772,0.20739023,81,0.07539814234021286,2437,5
tabpfn,pmlb_1030_ERA,4,0.35548754552747536,0.6809931168288434,0.44908185409390916,0.8533070623029744,1.6249323771046342,2.8214113729190333,4.080893358621536,8.069116455214326,1.3355011011659979,1.8638635197400792,0.0035306553911205072,15.4558638144487,13.154262964711833,0.3571071,43,0.0564841089365146,1308,5
tabpfn,pmlb_215_2dplanes,10,0.9479150813016867,0.4218693824487357,0.2584283025477353,31.07209041442469,52.13126659554973,76.51060046933767,94.02801243959205,139.8917019394464,38.46180551314171,30.391769404579442,0.8948666666666668,199.60711550965658,46.45656089206999,1.2870973,100,0.16403339638952796,3000,5
tabpfn,pmlb_218_house_8L,8,0.7242681174338055,1.0061425197249585,0.5959151853936591,16235.152665592823,46202.126984314345,128749.1211942428,221034.1088983239,539375.614487557,51576.83093043547,116670.3881667844,0.093,752621.7867387058,16.156470198490076,14021.448,100,0.0899842773017431,3000,5
tabpfn,pmlb_225_puma8NH,8,0.6876761566608411,0.4408385763916625,0.23402743383859997,1.3824143034572312,2.7797659279972384,4.520035281211916,5.661560477562477,7.794222435454296,1.9328802065890316,1.8088947629341536,0.0067333333333333325,9.369408420352382,1.9708193461291998,1.4243314,100,0.1391936992755734,3000,5
tabpfn,pmlb_4544_GeographicalOriginalofMusic,50,0.8131740501473596,0.4319152801033567,0.24617428781397824,0.06907079212399174,0.12375586062389528,0.19160673378197907,0.23809029464458914,0.3407756444815716,0.08826800571696057,0.0764327314647972,0.003300970873786408,0.4268831301571769,0.48286082946727493,0.2674946,103,0.44005216876289993,3090,5
tabpfn,pmlb_503_wind,14,0.8157773814434103,0.362300836151798,0.20702478436736854,1.2574747282884242,2.177654105191157,3.1362560127779653,3.798448572424553,5.08869647770103,1.511513642396839,1.1811683630344731,0.00022598870056497175,6.094306626258981,1.0112073662887144,1.8124161,117,0.13819855127531197,3534,5
tabpfn,pmlb_522_pm10,7,0.4087089469971679,0.5138944746755383,0.31139748430293157,0.27835742929595847,0.5262066625595375,0.8488389964864522,1.1055278016230936,1.756056296807019,0.3865653737460827,0.3774109552158472,0.05913333333333333,2.1655508105216654,4.118446221570503,0.15768978,100,0.1416570069628233,3000,5
tabpfn,pmlb_529_pollen,4,0.7947537589662267,0.2665954741382062,0.15157144789968463,2.498401928722154,3.973304404711654,5.200190759107764,5.854007650546018,7.407293648000118,2.712745699488816,1.8296625381999618,0.0028666666666666667,8.081285506188093,2.89109851731519,0.84032786,100,0.0499137783693709,3000,5
tabpfn,pmlb_547_no2,7,0.6074047160107046,0.48965156382929786,0.28538188491515,0.18467744746820963,0.34611907673205156,0.5613055132900892,0.7351293252192345,1.0964432139460958,0.253022133334025,0.2384578445656833,0.011600000000000001,1.4088532391333382,2.4858392667617917,0.17028713,100,0.13904001760839657,3000,5
tabpfn,pol,16,0.9785651675324882,1.8437560057030171,0.9354200106097498,0.03977386263855323,0.23974683469818295,5.442625195975656,16.434820247232484,48.87682946191859,2.629212887886554,9.629171174270208,0.00291005291005291,61.44413747580525,1.4801275364621709,12.446791,126,0.2254403566565259,3780,5
tabpfn,power_grid_stability,12,0.986719724437157,0.42428372865822916,0.24498670160920724,0.009147611767681186,0.016546889480166634,0.025249814054860504,0.031829317111924625,0.044718171159040386,0.011726100091990441,0.010095274489808646,0.006787878787878787,0.05492313219425373,1.4988744190099208,0.010958135,110,0.20039629329241465,3300,5
tabpfn,power_plant,4,0.9673473717583579,0.7132335437481467,0.4844493463435041,6.7803638604804535,12.4839637823431,21.623496874895878,30.46107162666747,68.3788440192316,10.22289004247454,13.291404019717444,0.001666666666666667,80.94952770865066,4.813881259736962,5.0081325,100,0.036869568961612705,3000,5
tabpfn,qm7,14,0.8100584153138367,0.5874289033714439,0.3584961169172708,142.44731047524505,287.7839706499424,495.1121022058525,663.6545385666547,1146.8726566616854,218.0009396638518,245.56223995211866,0.24361581920903955,1160.6435373756265,5.681372224082665,61.48755,118,0.22082976873163923,3540,5
tabpfn,qsar_fish_toxicity,6,0.6416528731417808,0.6232261888242998,0.34648796282330985,0.6683424683969975,1.545007392539277,2.9902321608006837,4.107368216493498,6.741918921084806,1.1954792973568658,1.4716976221325964,0.10506666666666667,10.196692612280682,8.660676512122683,0.35394517,100,0.12546172946584283,3000,5
tabpfn,qsar_tid_11,50,0.6528224892797624,0.32333676106460674,0.1881928688441116,1.8651449482397773,2.9284734499278935,4.019885323497403,4.74454157957846,6.24422154718714,2.086727258601957,1.4263662340412977,0.8078869047619047,6.89980417416986,5.520164978191537,0.3738246,224,0.48816651401095806,6720,5
