model,dataset,fold,train_r2,train_r2_adj,test_r2,test_r2_adj,gap,test_mae,test_rmse,train_mae,train_rmse,tune_time,train_time,predict_time,n_pruned,n_samples_original,n_samples_final,n_features_original,n_features_final,subsampling_applied,prefilter_applied,dim_reduction_applied,hp_complexity,hp_alpha,hp_include_interactions,hp_max_interaction_complexity,mi_n_features,mi_complexity,mi_regressor,mi_alpha,mi_include_interactions,mi_n_params,hp_max_depth,hp_min_samples_leaf,mi_max_depth,mi_n_leaves,mi_n_params_per_leaf,hp_min_samples_split,mi_max_depth_actual,hp_n_rbf_auto,hp_center_init,hp_width_init,mi_n_rbf_auto,mi_center_init,mi_width_init,mi_n_rbf,mi_n_width_params,hp_n_rbf,hp_n_estimators,hp_max_features,mi_n_estimators,mi_n_leaves_total,hp_learning_rate,hp_subsample,hp_colsample_bytree,hp_reg_lambda,hp_min_child_weight,mi_best_iteration
chebypoly,pmlb_522_pm10,4,0.5703936244774511,0.5627220820574057,0.5208854214672758,0.5123298039934772,0.04950820301017533,0.5067667169128411,0.6299762820890151,0.4460870961291846,0.5766207467836831,1.5611023902893066,0.00382232666015625,0.004000663757324219,15,500,500,7,7,False,False,False,11.0,6.4417258255016,True,2.0,7,11.0,Ridge,6.4417258255016,True,121,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,pmlb_529_pollen,0,0.7950127985389205,0.7947459749769796,0.7914652799864923,0.7911938387629147,0.003547518552428186,1.1705420610458332,1.4568531951215444,1.1183373262540315,1.4181537164333993,1.6166257858276367,0.003531932830810547,0.0030672550201416016,10,3848,3848,4,4,False,False,False,1.0,0.05013837376816704,True,2.0,4,1.0,Ridge,0.05013837376816704,True,12,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,pmlb_529_pollen,1,0.7917509985516686,0.7914799292364089,0.8043860005900283,0.8041313777466701,-0.012635002038359655,1.1119386127132036,1.4149949016962948,1.1329940335791289,1.428321445843189,1.570284366607666,0.002882719039916992,0.002213716506958008,6,3848,3848,4,4,False,False,False,2.0,0.02580166356389735,False,,4,2.0,Ridge,0.02580166356389735,False,10,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,pmlb_529_pollen,2,0.7998123726176033,0.7995517964674147,0.7693675035332244,0.769067298526434,0.030444869084378934,1.1461935550604008,1.4445833791107263,1.122978223031242,1.4209018815201107,1.8849763870239258,0.004858970642089844,0.003834247589111328,5,3848,3848,4,4,False,False,False,1.0,0.12399961533170559,True,1.0,4,1.0,Ridge,0.12399961533170559,True,12,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,pmlb_529_pollen,3,0.7914753024896128,0.7912039626099636,0.8030702637119225,0.8028140116152561,-0.01159496122230963,1.0946417172506628,1.4084171552428448,1.1391981641137001,1.4322569730780499,1.5262537002563477,0.0026712417602539062,0.002047300338745117,10,3848,3848,4,4,False,False,False,2.0,0.0010943315194676623,False,,4,2.0,Ridge,0.0010943315194676623,False,10,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,pmlb_529_pollen,4,0.7946092318841944,0.7943419699868414,0.7904048730070652,0.7901321402458512,0.004204358877129222,1.1436875116496215,1.43452890623174,1.126312019463769,1.425125794695023,1.527907133102417,0.0028433799743652344,0.00212860107421875,6,3848,3848,4,4,False,False,False,1.0,0.011256713377344827,False,,4,1.0,Ridge,0.011256713377344827,False,6,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,pmlb_547_no2,0,0.6310929706388797,0.6245053451145739,0.534980085046554,0.526676157993814,0.09611288559232567,0.4201798174930331,0.5111456538694169,0.36642054397959944,0.4547824305989482,2.134002685546875,0.004225969314575195,0.003397703170776367,15,500,500,7,7,False,False,False,5.0,0.00385507369002618,False,,7,5.0,Ridge,0.00385507369002618,False,37,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,pmlb_547_no2,1,0.6868693825243202,0.6812777643551116,0.5732703115713069,0.5656501385636516,0.11359907095301325,0.3778423281017959,0.46747691010195996,0.33668567709658376,0.4238583181196762,1.8762001991271973,0.0031576156616210938,0.002475738525390625,14,500,500,7,7,False,False,False,8.0,0.057087390050418636,False,,7,8.0,Ridge,0.057087390050418636,False,58,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,pmlb_547_no2,2,0.6700227148663973,0.6641302633461544,0.6454227716910501,0.6390910354712475,0.024599943175347194,0.3767222857360958,0.4884741404121791,0.33553972493927064,0.41903903566772266,1.633190393447876,0.0038721561431884766,0.004017829895019531,21,500,500,7,7,False,False,False,6.0,4.52303849211178,True,2.0,7,6.0,Ridge,4.52303849211178,True,86,,,,,,,,,,,,,,,,,,,,,,,,,,
chebypoly,pmlb_547_no2,3,0.6605481111957929,0.6544864703242892,0.4565456259152024,0.4468410835208311,0.2040024852805905,0.3645112648145315,0.4888419507617685,0.3615112546190462,0.44851259547526146,2.422481060028076,0.0027871131896972656,0.002386808395385742,9,500,500,7,7,False,False,False,4.0,0.5005809068337878,True,1.0,7,4.0,Ridge,0.5005809068337878,True,51,,,,,,,,,,,,,,,,,,,,,,,,,,
